number,value,datetime_start,datetime_complete,duration,params_alpha_bm25,params_alpha_text,params_alpha_triple,user_attrs_avg_answer_quality,user_attrs_avg_diversity,user_attrs_avg_precision,state
0,0.34772674248175295,2026-07-04 17:33:28.543845,2026-07-04 17:33:33.942514,0 days 00:00:05.398669,0.38521429192297485,0.349816047538945,0.49279757672456204,0.5,0.6146446971613987,0.2333333333333334,COMPLETE
1,0.3212786467542331,2026-07-04 17:33:33.945093,2026-07-04 17:33:39.509190,0 days 00:00:05.564097,0.14680559213273098,0.4394633936788146,0.26239780813448105,0.5,0.7987066002918883,0.11666666666666665,COMPLETE
2,0.3535123902674515,2026-07-04 17:33:39.510254,2026-07-04 17:33:45.086967,0 days 00:00:05.576713,0.3598528437324806,0.2232334448672798,0.4404460046972835,0.5,0.5950413008915051,0.25,COMPLETE
3,0.28031976588954755,2026-07-04 17:33:45.086967,2026-07-04 17:33:50.632184,0 days 00:00:05.545217,0.10617534828874074,0.4832290311184182,0.5879639408647976,0.5,0.6232881085207141,0.13333333333333333,COMPLETE
4,0.32342432814169164,2026-07-04 17:33:50.632184,2026-07-04 17:33:56.061007,0 days 00:00:05.428823,0.16370173320348286,0.5329770563201687,0.2727299868828402,0.5,0.8058588715834166,0.11666666666666665,COMPLETE
5,0.3320297061938261,2026-07-04 17:33:56.061007,2026-07-04 17:34:02.001119,0 days 00:00:05.940112,0.19127267288786132,0.27336180394137355,0.4099025726528951,0.5,0.6789879095349759,0.18333333333333332,COMPLETE
6,0.2706530992228809,2026-07-04 17:34:02.001119,2026-07-04 17:34:07.887849,0 days 00:00:05.886730,0.1873687420594126,0.3727780074568463,0.44474115788895174,0.5,0.6299547751873807,0.11666666666666665,COMPLETE
7,0.3434497253309227,2026-07-04 17:34:07.892507,2026-07-04 17:34:12.547497,0 days 00:00:04.654990,0.18764339456056545,0.25579754426081674,0.3465447373174767,0.5,0.7559435288808536,0.16666666666666666,COMPLETE
8,0.28879470041403354,2026-07-04 17:34:12.547497,2026-07-04 17:34:17.240399,0 days 00:00:04.692902,0.33555278841790415,0.38242799368681435,0.2798695128633439,0.5,0.4182045569356674,0.2333333333333334,COMPLETE
9,0.31329028850401064,2026-07-04 17:34:17.241411,2026-07-04 17:34:21.707520,0 days 00:00:04.466109,0.2777243706586128,0.4056937753654446,0.2185801650879991,0.5,0.4609676283467022,0.25,COMPLETE
